pnum,parliment,mp,party,votes,coalition
P1,PADANG BESAR, RUSHDAN RUSMI ,PN-PAS,24267,PN
P2,KANGAR,  ZAKRI HASSAN ,PN-BERSATU,24562,PN
P3,ARAU, SHAHIDAN  KASSIM ,PN- BERSATU,31458,PN
P4,LANGKAWI, SUHAIMI ABDULLAH ,PN-BERSATU,25463,PN
P5,JERLUN, ABD GHANI AHMAD ,PN-PAS,31685,PN
P6,KUBANG PASU, DATUK KU ABD RAHMAN KU ISMAIL ,PN-BERSATU,47584,PN
P7,PADANG TERAP, NURUL AMIN HAMID ,PN-PAS,28217,PN
P8,POKOK SENA, DATUK AHMAD SAAD @ YAHAYA ,PN-PAS,52275,PN
P9,ALOR SETAR, AFNAN HAMIMI TAIB AZAMUDDEN ,PN-PAS,37486,PN
P10,KUALA KEDAH, AHMAD FAKHRUDDIN FAKHRURAZI ,PN-PAS,56298,PN
P11,PENDANG, AWANG HASHIM ,PN-PAS,49008,PN
P12,JERAI, SABRI AZIT ,PN-PAS,49461,PN
P13,SIK, AHMAD TARMIZI SULAIMAN ,PN-PAS,34606,PN
P14,MERBOK, MOHD NAZRI ABU HASSAN ,PN-BERSATU,52573,PN
P15,SUNGAI PETANI, MOHAMMED TAUFIQ JOHARI ,PH-PKR,50580,PH
P16,BALING, HASSAN SAAD ,PN-PAS,64493,PN
1.,"DATUK AZMAN NASRUDIN (PN-BERSATU) 51,637 MENANG",None,None,None,OTHER
2.,"ROSLAN HASHIM (PN-BERSATU) 34,469 MENANG",None,None,None,OTHER
2.,"DATUK MUMTAZ MD NAWI (PAS) 65,426 MENANG",None,None,None,OTHER
4.,"DATUK AHMAD MARZUK SHAARY (PAS) 53,933 MENANG",None,None,None,OTHER
1.,"DATUK SERI TAKIYUDDIN HASSAN (PAS) 41,869 MENANG",None,None,None,OTHER
2.,"AHMAD FADHLI SHAARY (PAS) 44,444 MENANG",None,None,None,OTHER
2.,"SITI ZAILAH MOHD YUSOFF (PN-PAS) 37,759 MENANG",None,None,None,OTHER
4.,"DATUK SERI TUAN IBRAHIM TUAN MAN (PAS) 55,654 MENANG",None,None,None,OTHER
1.,"MOHD SYAHIR CHE SULAIMAN (PN-PAS) 57,130 MENANG",None,None,None,OTHER
3.,"KHLIR MOHD NOR (PN-BERSATU) 40,542 MENANG",None,None,None,OTHER
5.,"IKMAL HISHAM ABDUL AZIZ (PN-BERSATU) 54,266 MENANG",None,None,None,OTHER
4.,"DATUK DR NIK MUHAMMAD ZAWAWI SALLEH (PAS)52,937 MENANG",None,None,None,OTHER
3.,"WAN AHMAD FAYHSAL WAN AHMAD KAMAL (PN-BERSATU) 35,603 MENANG",None,None,None,OTHER
2.,"ZAHARI KECIK (PN-BERSATU) 27,072 MENANG",None,None,None,OTHER
1.," ABDUL LATIFF ABDUL RAHMAN (PN-PAS) 42,740 MENANG",None,None,None,OTHER
2.,"DATUK MOHD AZIZI ABU NAIM (PAS-Bersatu) 21,826 MENANG",None,None,None,OTHER
1.," CHE MOHAMAD ZULKEFLY JUSOH (PN-PAS) 49,569 MENANG",None,None,None,OTHER
2.,"SHAHARIZUKIRNAIN ABD KADIR (PN-PAS) 50,768 MENANG",None,None,None,OTHER
1.,"DR ALIAS RAZAK (PN-PAS) 56,697 MENANG",None,None,None,OTHER
4.,"AHMAD AMZAD HASHIM (PN-PAS) 63,016 MENANG",None,None,None,OTHER
1.,"TAN SRI ABDUL HADI AWANG (PAS) 73,115 MENANG",None,None,None,OTHER
3.,"ROSOL WAHID (PN-BERSATU) 42,910 MENANG",None,None,None,OTHER
5.,"WAN HASAN MOHD RAMLI (PN-PAS) 59,720 MENANG",None,None,None,OTHER
2.,"CHE ALIAS HAMID (PAS) 65,714 MENANG",None,None,None,OTHER
2.,"DR SITI MASTURA MOHAMAD (PN-PAS): 28,604 MENANG",None,None,None,OTHER
5.,"WAN SAIFUL WAN JAN (PN-BERSATU): 31,116 MENANG",None,None,None,OTHER
1.," LIM GUAN ENG (PH-DAP): 55,797 MENANG",None,None,None,OTHER
2.,"MUHAMMAD FAWWAZ MD JAN (PN-PAS): 37,638 MENANG",None,None,None,OTHER
1.," SIM CHEE KEONG (PH-DAP): 71,722 MENANG",None,None,None,OTHER
2.,"CHOW KON YEOW (PH-DAP) 50,744 MENANG",None,None,None,OTHER
1.,"FADHLINA SIDEK (PH-PKR) 42,188 MENANG",None,None,None,OTHER
1.,"SYERLEENA ABDUL RASHID (PH-DAP): 49,353 MENANG",None,None,None,OTHER
1.,"LIM HUI YING (PH-DAP)31,968 MENANG",None,None,None,OTHER
1.," SANISVARA NETHAJI RAYER RAJAJI (PH-DAP): 50,369 MENANG",None,None,None,OTHER
2.,"RAMKARPAL SINGH (PH-DAP)........71,204 MENANG",None,None,None,OTHER
5.,"SIM TZE TZIN (PH-PKR): 55,209 MENANG",None,None,None,OTHER
2.,"MUHAMAD BAKHTIAR WAN CHIK (PH-PKR): 24,564 MENANG",None,None,None,OTHER
2.,"FATHUL HUZIR AYOB (PN-BERSATU) 15,105 MENANG",None,None,None,OTHER
1.,"SHAMSUL ANUAR NASARAH (BN-UMNO).12,588 MENANG",None,None,None,OTHER
3.,"DATUK SERI HAMZAH ZAINUDIN (PN-BERSATU) 28,350 MENANG",None,None,None,OTHER
2.,"MOHD MISBAHUL MUNIR MASDUKI (PN-PAS) 23,223 MENANG",None,None,None,OTHER
1.,"IDRIS AHMAD (PN-PAS) 33,753 MENANG",None,None,None,OTHER
1.,"SYED ABU HUSSIN HAFIZ SYED ABDUL FASAL (PN-BERSATU) 32,625 MENANG",None,None,None,OTHER
3.,"WONG KAH WOH (PH-DAP)47,098 MENANG",None,None,None,OTHER
1.,"KAPTEN AZAHARI HASAN (PN-Bersatu)12,931 MENANG",None,None,None,OTHER
4.,"S. KESAVAN (PH-PKR) 21,637 MENANG",None,None,None,OTHER
1.,"DATUK SERI ANWAR IBRAHIM (PH-PKR) 49,625 menang",None,None,None,OTHER
3.,"HOWARD LEE CHUAN HOW (PH-DAP) 57,549 menang",None,None,None,OTHER
2.,"M. KULASEGARAN (PH-DAP) 63,915 MENANG",None,None,None,OTHER
2.,"V. SIVAKUMAR (PH-DAP) 60,999 MENANG",None,None,None,OTHER
1.,"DATUK ISKANDAR DZULKARNAIN ABDUL KHALID (PN-BERSATU) 14,380 MENANG",None,None,None,OTHER
1.,"DATUK NGEH KOO HAM (PH-DAP) 46,710 MENANG",None,None,None,OTHER
1.,"MUHAMMAD ISMI MAT TAIB (PN-PAS)17,181 MENANG",None,None,None,OTHER
3.,"CHONG ZHEMIN (PH-DAP)30,467 MENANG",None,None,None,OTHER
3.,"TAN KAR HING (PH-DAP)55,880 MENANG",None,None,None,OTHER
4.,"DATUK SERI M SARAVANAN (BN-MIC)18,398 MENANG",None,None,None,OTHER
3.,"JAMALUDDIN YAHYA (PN-PAS) 24,897 MENANG",None,None,None,OTHER
3.,"KOMANDER (B) NORDIN AHMAD ISMAIL (PN-BERSATU) 25,212 MENANG",None,None,None,OTHER
4.,"DATUK SERI DR AHMAD ZAHID HAMIDI (BN-UMNO) 16,578 MENANG",None,None,None,OTHER
1.,"NGA KOR MING (PH-DAP) 33,133 MENANG",None,None,None,OTHER
3.,"CHANG LIH KANG (PH-PKR) 25,140 MENANG",None,None,None,OTHER
1.,"RAMLI MOHD NOR (BN-UMNO)...16,120 MENANG",None,None,None,OTHER
4.,"DATUK SERI ABDUL RAHMAN MOHAMAD (BN-UMNO) 17,672 MENANG",None,None,None,OTHER
1.,"CHOW YU HUI (PH-DAP) 21,613 MENANG",None,None,None,OTHER
3.,KHAIRIL NIZAM KHIRUDIN (PN-PAS)...31.701 MENANG,None,None,None,OTHER
2.,"SAIFUDDIN ABDULLAH (PN-BERSATU)...41,692 MENANG",None,None,None,OTHER
3.,"WAN RAZALI WAN NOR (PN-PAS)...25,514 MENANG",None,None,None,OTHER
4.,"MOHD SHAHAR ABDULLAH (BN-UMNO)...26,899 MENANG",None,None,None,OTHER
1.,"SH MOHMED PUZI SH ALI (BN-UMNO)..47,418 MENANG",None,None,None,OTHER
3.,"ISMAIL ABD MUTTALIB (PN-PAS).......19,600 MENANG",None,None,None,OTHER
2.,"KAMAL ASHAARI (PN-PAS) 22,505 MENANG",None,None,None,OTHER
2.,"SALAMIAH MOHD NOR (PN-PAS)...30,929 MENANG",None,None,None,OTHER
2.,"YOUNG SYEFURA OTHMAN (PH-DAP)...25,075 MENANG",None,None,None,OTHER
2.,"ISMAIL SABRI YAAKOB (BN-UMNO)...31,762 MENANG",None,None,None,OTHER
3.,"ABDUL KHALIB ABDULLAH (PN-BERSATU)... 31,589 MENANG",None,None,None,OTHER
3.,"KALAM SALAN (PN-BERSATU) 17,973 MENANG",None,None,None,OTHER
3.,"MUSLIMIN YAHAYA (PN-BERSATU) 19,791 MENANG",None,None,None,OTHER
6.,"HASNIZAN HARUN (PN-BERSATU) 46,823 MENANG",None,None,None,OTHER
3.,"KAPTEN (B) DATUK DR ZULKAFPERI HANAPI (PN-Bersatu) 18,054 MENANG",None,None,None,OTHER
3.,"DZULKEFLY AHMAD (PH-AMANAH) 31,033 MENANG",None,None,None,OTHER
1.," ABDUL RASHID ASARI (PN-BERSATU) 49,154 MENANG", William Leong ,PH-PKR,72773,PH
P98,GOMBAK, AMIRUDIN SHARI ,PH-PKR,72267,PH
P99,AMPANG, RODZIAH ISMAIL ,PH-PKR,56754,PH
P100,PANDAN,  Rafizi Ramli ,PH-PKR,74002,PH
P101,HULU LANGAT, MOHD SANY HAMZAN ,PH-AMANAH,58382,PH
P102,BANGI, SYAHREDZAN JOHAN ,PH-DAP,141568,PH
P103,PUCHONG,  YEO BEE YIN ,PH-DAP,79425,PH
P104,SUBANG, WONG CHEN ,PH-PKR,138259,PH
P105,PETALING JAYA, LEE CHEAN CHUNG ,PH-PKR,83311,PH
P106,DAMANSARA,  GOBIND SINGH DEO ,PH-DAP,142875,PH
P107,SUNGAI BULOH, DATUK R. RAMANAN ,PH-PKR,50943,PH
P108,SHAH ALAM,  AZLI YUSOF ,PH-AMANAH,61409,PH
P109,KAPAR, HALIMAH ALI ,PN-PAS,65751,PN
P110,KLANG, V GANABATIRAU ,PH-DAP,115539,PH
P111,KOTA RAJA, MOHAMAD SABU ,PH-AMANAH,123306,PH
P112,KUALA LANGAT, AHMAD YUNUS HAIRI ,PN-PAS,52867,PN
P113,SEPANG, RAJ MUNNI @ AIMAN ATHIRAH ,PH-AMANAH,56264,PH
P114,KEPONG, LIM LIP ENG ,PH-DAP,64308,PH
P115,BATU, PRABAKARAN M PARAMESWARAN ,PH-PKR,45716,PH
P116,WANGSA MAJU, ZAHIR HASSAN ,PH-PKR,46031,PH
P117,SEGAMBUT, HANNAH YEOH TSEOW SUAN ,PH-DAP,68438,PH
P118,SETIAWANGSA, NIK NAZMI NIK AHMAD ,PH-PKR,34434,PH
P119,TITIWANGSA, JOHARI ABDUL GHANI ,BN-UMNO,25042,BN
P120,BUKIT BINTANG, FONG KUI LUN ,PH-DAP,43827,PH
P121,LEMBAH PANTAI, AHMAD FAHMI MOHAMED FADZIL ,PH-PKR,35359,PH
P122,SEPUTEH, TERESA KOK SUH SIM ,PH-DAP,73234,PH
P123,CHERAS, TAN KOK WAI ,PH-DAP,60294,PH
P124,BANDAR TUN RAZAK,None,None,None,OTHER
5.,"RADZI MD JIDIN (PN-BERSATU) - 16,002 MENANG",None,None,None,OTHER
2.,"DATUK SERI JALALUDDIN ALIAS (BN-UMNO) 21,805 MENANG",None,None,None,OTHER
3.,"SHAMSHULKAHAR MOHD DELI (BN-UMNO).. 30,138 MENANG",None,None,None,OTHER
1.,"ANTHONY LOKE SIEW FOOK (PH-DAP)... 63,916 MENANG",None,None,None,OTHER
5.,"DATUK ADNAN ABU HASSAN (BN-UMNO) 21,423 MENANG",None,None,None,OTHER
3.,"CHA KEE CHIN (PH-DAP) .. 81,434 MENANG",None,None,None,OTHER
2.,"MOHAMAD HASAN (BN-UMNO).... 53,075 MENANG",None,None,None,OTHER
5.,"AMINUDDIN HARUN (PH-PKR)... 42,013 MENANG",None,None,None,OTHER
1.,"DATUK MOHD ISAM MOHD ISA (BN-UMNO) 23,283 MENANG",None,None,None,OTHER
2.,"DATUK MAS ERMIEYATI SAMSUDIN (PN-Bersatu) 25,604 MENANG",None,None,None,OTHER
2.,"ADLY ZAHARI (PH-AMANAH) 28,178 MENANG",None,None,None,OTHER
4.,"BAKRI JAMALUDDIN (PN-PAS) 37,406 MENANG",None,None,None,OTHER
1.,"ADAM ADLI ABD HALIM (PH-PKR) 39,418 MENANG",None,None,None,OTHER
1.,"KHOO POAY TIONG (PH-DAP) 73,995 MENANG",None,None,None,OTHER
4.,"ZULKIFLI ISMAIL (PN-PAS) 27,893 MENANG",None,None,None,OTHER
3.,"YUNESWARAN L RAMARAJ (PH-PKR).... 23,437 MENANG",None,None,None,OTHER
4.,"ZALIHA MUSTAPHA (PH-PKR).......18,941 MENANG",None,None,None,OTHER
2.,"PANG HOK LIONG (PH-DAP)16,133 MENANG",None,None,None,OTHER
2.,"TAN SRI MUHYIDDIN YASSIN (PN-Bersatu) 24,986 MENANG",None,None,None,OTHER
1.,"SYED IBRAHIM SYED NOH (PH-PKR) 33,650 MENANG",None,None,None,OTHER
3.,"TAN HONG PIN (PH-DAP) 36,636 MENANG",None,None,None,OTHER
3.,"SYED SADDIQ ABDUL RAHMAN (PH-MUDA) .....19,961 MENANG",None,None,None,OTHER
1.,"DATUK SERI DR NORAINI AHMAD (BN-UMNO) 25,740 MENANG",None,None,None,OTHER
1.,"DATUK SERI DR WEE KA SIONG (BN-MCA) 18,911 MENANG",None,None,None,OTHER
1.,"AMINOLHUDA HASSAN (PH-AMANAH) ......23,242 MENANG",None,None,None,OTHER
1.,"ONN ABU BAKAR (PH-PKR) 45,242 MENANG",None,None,None,OTHER
4.,"DATUK SERI HASNI MOHAMMAD (BN-UMNO): 18,312 MENANG",None,None,None,OTHER
2.,"WONG SHU QI (PH-DAP) 49,801 MENANG",None,None,None,OTHER
1.,"DATUK SERI HISHAMMUDDIN HUSSEIN (BN-UMNO) 22,572 MENANG",None,None,None,OTHER
3.,"MUHAMMAD ISLAHUDDIN ABAS (PN-BERSATU) ....21,066 MENANG",None,None,None,OTHER
1.,"MANNDZRI NASIB (BN-UMNO) 21,185 MENANG",None,None,None,OTHER
1.,"DATUK SERI MOHAMED KHALED NORDIN (BN-UMNO)25,410 MENANG",None,None,None,OTHER
2.,"DATUK SERI AZALINA OTHMAN SAID (BN-UMNO): 21,738",None,None,None,OTHER
1.,"JIMMY PUAH WEE TSE (PH-PKR) 83,959 MENANG",None,None,None,OTHER
2.,"HASSAN KARIM (PH-PKR)..71,233 MENANG",None,None,None,OTHER
4.,"AKMAL NASRULLAH MOHD NASIR (PH-PKR) 43,252 MENANG",None,None,None,OTHER
3.,"DATUK SERI SALAHUDDIN AYUB (PH-AMANAH) 64,900 MENANG",None,None,None,OTHER
3.,"LIEW CHIN TONG (PH-DAP)........................... 96,819 MENANG",None,None,None,OTHER
2.,"TEO NIE CHING (PH-DAP) ........................65,529 MENANG",None,None,None,OTHER
2.,"DATUK SERI AHMAD MASLAN (BN-UMNO) 23,201 MENANG",None,None,None,OTHER
2.,"DATUK SERI DR WEE JECK SENG (BN-MCA) 23,593 MENANG",None,None,None,OTHER
5.,"SUHAILI ABD RAHMAN (PN-BERSATU) - 8,124 MENANG",None,None,None,OTHER
4.,"VERDON BAHANDA (BEBAS)....16,323 MENANG",None,None,None,OTHER
6.,"WETROM BAHANDA (PKDM)............24,318 MENANG",None,None,None,OTHER
3.,"ISNARAISSAH MUNIRAH MAJILIS (Warisan)25,148 MENANG",None,None,None,OTHER
1.," MADIUS TANGAU (PH)....24,943 MENANG",None,None,None,OTHER
4.,"MUSTAPHA SAKMUD (PH-PKR)....27,022 MENANG",None,None,None,OTHER
4.,"CHAN FOONG HIN (PH-DAP)....31,359 MENANG",None,None,None,OTHER
2.,"SHAHELMEY YAHYA (BN-GRS)....16,234 MENANG",None,None,None,OTHER
1.,"DATUK EWON BENEDICK (PH-UPKO)29,066 MENANG",None,None,None,OTHER
6.,"ARMIZAN MOHD ALI (GRS-BERSATU)....22,620 MENANG",None,None,None,OTHER
1.,"DATUK MOHAMAD ALAMIN (BN-UMNO) 13,004 MENANG",None,None,None,OTHER
5.,"DATUK SITI AMINAH ACHING (BN-UMNO): 10,570 MENANG",None,None,None,OTHER
1.,"DATUK MATBALI MUSAH (GRS-Bersatu) 14,459 MENANG",None,None,None,OTHER
2.,"JONATHAN YASSIN (GRS-BERSATU)....22,606 MENANG",None,None,None,OTHER
3.,"JEFFREY KITINGAN (GRS-STAR)....23,155 MENANG",None,None,None,OTHER
3.,"RIDUAN RUBIN (BEBAS) 10,027 MENANG",None,None,None,OTHER
5.,"ARTHUR JOSEPH KURUP (BN)....19,623 MENANG",None,None,None,OTHER
4.,"DATUK SERI DR RONALD KIANDEE (PN-Bersatu) 11,303 MENANG",None,None,None,OTHER
6.,"SUHAIMI NASIR (BN-UMNO)....22,969 MENANG",None,None,None,OTHER
4.,"MOHD KHAIRUL FIRDAUS AKBARKHAN (GRS-BERSATU)....12,152 MENANG",None,None,None,OTHER
4.,"VIVIAN WONG SHIR YEE (PH-DAP) 16,673 MENANG",None,None,None,OTHER
2.,"DATUK SERI BUNG MOKTAR RADIN (BN-UMNO) 16,842 MENANG",None,None,None,OTHER
2.,"DATUK MOHAMMAD YUSOF APDAL (WARISAN) 27,116 MENANG",None,None,None,OTHER
2.,"MOHD SHAFIE APDAL (WARISAN)....28,702 MENANG",None,None,None,OTHER
6.,"LO SU FUI (GRS-PBS) 19,865 MENANG",None,None,None,OTHER
2.,"ANDI MUHAMMAD SURYADI BANDY (BN-UMNO)....23,855 MENANG",None,None,None,OTHER
3.,"MORDI BIMOL (DAP). -----17,274 MENANG",None,None,None,OTHER
1.,"DATUK SERI NANCY SHUKRI (GPS-PBB) 43,739 MENANG",None,None,None,OTHER
1.," FADILLAH YUSOF (GPS) .----------54,745 MENANG",None,None,None,OTHER
1.," DR KELVIN YII LEE WUEN (PH-DAP) ------45,353 MENANG",None,None,None,OTHER
1.," CHONG CHIENG JEN (PH-DAP) ------ 39,310 MENANG",None,None,None,OTHER
1.,"DATUK RUBIAH WANG (GPS-PBB) 42,278 MENANG",None,None,None,OTHER
1.,"DATUK WILLIE MONGIN (GPS-PBB) 29,457 MENANG",None,None,None,OTHER
2.,"RICHARD RIOT JAEM (GPS) 22,876 MENANG",None,None,None,OTHER
1.,"RODIYAH SAPIEE (GPS-PBB): 18,668 MENANG",None,None,None,OTHER
1.," MOHAMAD SHAFIZAN KEPLI (GPS) 19,627 MENANG",None,None,None,OTHER
1.,"DATUK SERI DORIS SOPHIA BRODIE (GPS-PRS) 14,131 MENANG",None,None,None,OTHER
3.,"ROY ANGAU GINGKOI (GPS) 6,644 MENANG",None,None,None,OTHER
3.,"DR RICHARD RAPU @ AMAN BEGRI (GPS-PBB): 16,479 MENANG",None,None,None,OTHER
2.,"ALI BIJU (PN-BERSATU)....19,223 MENANG",None,None,None,OTHER
1.,"YUSUF ABD WAHAB (GPS-PBB)16,474 MENANG",None,None,None,OTHER
1.,"AHMAD JOHNIE ZAWAWI (GPS-PBB) 15,824 MENANG",None,None,None,OTHER
1.,"DATUK SERI HUANG TIONG SII (GPS-SUPP) 20,080 MENANG",None,None,None,OTHER
3.,"DATUK LARRY SNG WEI SHIEN (PBM) 9,159 MENANG",None,None,None,OTHER
3.,"DATUK AARON AGO DAGANG (GPS-PRS) 7,411 MENANG",None,None,None,OTHER
3.,"ALICE LAU KIONG YIENG (DAP-PH) 30,120 MENANG",None,None,None,OTHER
1.,"OSCAR LING CHAI YEW (DAP-PH) 31,287 MENANG",None,None,None,OTHER
1.,"DATUK HANIFAH HAJAR TAIB (GPS-PBB) 21,733 MENANG",None,None,None,OTHER
2.,"EDWIN BANTA (GPS-PRS)16,078 MENANG",None,None,None,OTHER
1.,"DATUK SERI ALEXANDER NANTA LINGGI (GPS-PBB) 16,522 MENANG",None,None,None,OTHER
2.,"DATUK WILSON UGAK KUMBONG (GPS-PRS) 15,456 MENANG",None,None,None,OTHER
2.,"DATUK SERI TIONG KING SING (GPS-PDP) 43,455 MENANG",None,None,None,OTHER
1.,"LUKANISMAN AWANG SAUNI (GPS-PBB) 22,150 MENANG",None,None,None,OTHER
3.,"CHIEW CHOON MAN (PH-PKR) 39,549 MENANG",None,None,None,OTHER
1.,"DATUK ANYI NGAU (GPS-PDP) 18,399 MENANG", DATUK ANYI NGAU ,GPS-PDP,18399,GPS
P221,LIMBANG, DATUK HASBI HABIBOLLAH ,GPS-PBB,14897,GPS
P222,LAWAS, DATUK HENRY SUM AGONG ,GPS-PBB,11361,GPS
